anno_type,n_anchor,n_control,anchor_c_mean,control_c_mean,intron_c_mean,d_vs_intron,d_vs_gc_matched_control,mw_p_vs_intron
TSS,1410,1295,28.33049645390071,28.086486486486486,27.81564712524414,0.08486690821498458,0.04153415287357104,3.8513139999761157e-47
TATA,13560,11987,29.144690265486727,29.014557437223658,27.81564712524414,0.21910534942499382,0.027206746385215943,1.0886377068968496e-05
CAAT,4392,4289,28.110086520947178,28.784565166705526,27.81564712524414,0.04853502319603875,-0.12076717982238706,1.6336627051862612e-54
GCbox,3901,3123,29.557933863112023,27.863272494396412,27.81564712524414,0.2872051342648539,0.3129687411431105,0.0
