context,n,c_mean,c_sd,d_vs_intron_chr22
intergenic,15911952,28.743999481201172,5.181077003479004,0.16293697577622107
intron,20600852,27.81564712524414,6.066556930541992,0.0
coding_exon,1643667,28.248703002929688,5.646313190460205,0.07173949170460943
5utr,74728,29.025819778442383,5.4227776527404785,0.19955509951669817
3utr,610330,27.72620964050293,6.024196624755859,-0.01474566126802966
splice_donor,94568,25.588899612426758,7.157445430755615,-0.36672464204508615
splice_acceptor,93903,25.68646812438965,7.051865577697754,-0.35069058449964335
