context,n,c_mean,c_median,c_sd,H_mean,H_median,H_sd,H_iqr,H_range,rho_c_H,abs_rho
coding_exon,1643533,30.138650699438344,32.0,4.850741508455917,0.7959527373313904,0.9301576018333435,0.5035948753356934,1.0085493326187134,1.49610435962677,0.24045759006447015,0.24045759006447015
intron,20595963,30.140696067476913,32.0,5.208710551928088,1.0147771835327148,1.203982949256897,0.39533957839012146,0.5634520947933197,1.574756383895874,-0.22838997532549715,0.22838997532549715
splice_donor,94528,27.737590978334463,32.0,6.996809665945716,0.832818865776062,1.081449031829834,0.507197916507721,0.9820180535316467,1.381581425666809,0.11552986642448856,0.11552986642448856
intergenic,15821035,30.930117593444425,32.0,3.9306127154639006,0.8415613770484924,0.9730190634727478,0.4681800603866577,0.9183731526136398,1.627357840538025,0.08760209450914565,0.08760209450914565
3utr,610330,29.943183195975948,32.0,5.369403229064511,1.1131309270858765,1.2639644145965576,0.3566540777683258,0.22573533654212952,1.5512988567352295,-0.07474719893762789,0.07474719893762789
splice_acceptor,93883,27.828094543208035,32.0,6.929657966950421,0.8312391638755798,1.0246623754501343,0.49581971764564514,0.9439203590154648,1.4559212923049927,0.05588592254233889,0.05588592254233889
5utr,74728,30.465568461620812,32.0,4.642446464320689,1.0430951118469238,1.1954457759857178,0.3662906289100647,0.3357655853033066,1.384749412536621,-0.03647881423599667,0.03647881423599667
