context,n,vs_intron_cohen_d,mw_p,rank_biserial_r
splice_donor,94528,-0.4605173083543382,0.0,0.30917155470015023
splice_acceptor,93883,-0.4432137711048534,0.0,0.3068430886123036
coding_exon,1643533,-0.0003946223636675314,0.0,0.15302014558351784
5utr,74728,0.062394175731072685,2.4543647909237526e-10,0.007604012018244455
3utr,610330,-0.0378855827562701,0.0,0.025896704511794266
intergenic,15821035,0.1680915009818432,1.1789963625800925e-72,-0.0019912419966876538
