anno_type,n_anchor,n_control,anchor_c_mean,control_c_mean,intron_c_mean,d_vs_intron,d_vs_gc_matched_control,mw_p_vs_intron
TSS,1409,1290,30.18026969481902,30.315503875968993,30.140696067476913,0.007597599047160594,-0.026984514353277415,0.006776134133209724
TATA,13559,11905,31.021240504461982,31.10331793364133,30.140696067476913,0.16907741554682965,-0.02195926564822389,6.776051201401678e-49
CAAT,4385,4270,30.298517673888256,30.873067915690868,30.140696067476913,0.030299859574365918,-0.1264079643375443,0.7224447231088336
GCbox,3900,3109,30.79974358974359,30.240913477002252,30.140696067476913,0.12653205825049263,0.1219276072065693,3.90108062090766e-09
