context,n,c_mean,c_median,c_sd,H_mean,H_sd,H_iqr,H_range,rho_c_H,abs_rho
splice_acceptor,93883,25.687701713835306,31.0,7.051207626175781,0.8312391138991566,0.49581971583069934,0.9439203590154648,1.4559213165193796,-0.2238635936678387,0.2238635936678387
intron,20595963,27.815437107747766,31.0,6.066603955693011,1.014777101236644,0.3953394866679373,0.5634520947933197,1.5747563247568905,-0.14855552210282447,0.14855552210282447
splice_donor,94528,25.589380924170616,31.0,7.157103083084295,0.8328189398050686,0.5071979042330985,0.9820180535316467,1.3815814666450024,-0.13366949516195772,0.13366949516195772
coding_exon,1643533,28.24867404548616,31.0,5.64626216131721,0.7959527473857589,0.5035949504630287,1.0085493326187134,1.4961043135263026,-0.09747468564121196,0.09747468564121196
5utr,74728,29.025820308318167,31.5,5.422777774468379,1.0430950817000353,0.3662906235264632,0.3357655853033066,1.3847494251094759,0.05448905229543317,0.05448905229543317
3utr,610330,27.72621532613504,31.0,6.024196787932439,1.1131308277337864,0.35665406589621584,0.22573533654212952,1.5512988260015845,-0.05159357421380906,0.05159357421380906
intergenic,15821035,28.747970470958442,31.0,5.173465221742746,0.8415611528643278,0.4681799401168688,0.9183731526136398,1.6273577930405736,0.0005244443733733562,0.0005244443733733562
